Time[s], Data[Hex]
0.000000000000000, FC
0.078073250000000, FD
0.179062416666667, FC
0.280051791666667, FD
0.381041125000000, FC
0.482030500000000, FD
0.583019875000000, FC
0.684009041666667, FD
0.784998416666667, FC
0.885987750000000, FD
0.986977125000000, FC
1.087966500000000, FD
1.188955666666667, FC
1.289945041666667, FD
1.390934375000000, FC
1.491923750000000, FD
1.592913125000000, FC
1.693902291666667, FD
1.794891666666667, FC
1.895881000000000, FD
1.996870375000000, FC
2.097859708333333, FD
2.198848916666667, FC
2.299838250000000, FD
2.400827625000000, FC
2.501816958333333, FD
2.602806333333334, FC
2.703795500000000, FD
2.804784875000000, FC
2.905774208333333, FD
3.006763583333333, FC
3.107752958333334, FD
3.208742125000000, FC
3.309731458333334, FD
3.410720833333333, FC
3.511710166666667, FD
3.612699541666667, FC
3.713688750000000, FD
3.814678083333333, FC
3.915667416666667, FD
4.016656791666667, FC
4.117646125000000, FD
4.218635333333333, FC
4.319624666666667, FD
4.420614041666667, FC
4.521603375000001, FD
4.622592750000000, FC
4.723581916666667, FD
4.824571291666667, FC
4.925560625000000, FD
5.026549958333334, FC
5.127539333333334, FD
5.228528500000000, FC
5.329517875000001, FD
5.430507208333333, FC
5.531496541666667, FD
5.632485916666667, FC
5.733475083333333, FD
5.834464458333334, FC
5.935453791666667, FD
6.036443125000001, FC
6.137432500000000, FD
6.238421666666667, FC
6.339411000000000, FD
6.440400375000000, FC
6.541389708333334, FD
6.642379083333334, FC
6.743368250000001, FD
6.844357583333334, FC
6.945346916666667, FD
