Time [s],Value,Parity Error,Framing Error
0.041223333333333,0x00,,Error
0.243202083333333,0x00,,Error
0.445180625000000,0x00,,Error
0.647159375000000,0x00,,Error
0.849137916666667,0x00,,Error
1.051116666666667,0x00,,Error
1.253095375000000,0x00,,Error
1.455073958333333,0x00,,Error
1.657052666666667,0x00,,Error
1.859031208333333,0x00,,Error
2.061009958333333,0x00,,Error
2.262988666666667,0x00,,Error
2.464967208333333,0x00,,Error
2.666945916666667,0x00,,Error
2.868924500000000,0x00,,Error
3.070903208333333,0x00,,Error
3.272881916666667,0x00,,Error
3.474860458333333,0x00,,Error
3.676839166666667,0x00,,Error
3.878817750000000,0x00,,Error
4.080796458333333,0x00,,Error
4.282775166666666,0x00,,Error
4.484753708333334,0x00,,Error
4.686732416666667,0x00,,Error
4.888710958333333,0x00,,Error
5.090689666666667,0x00,,Error
5.292668375000000,0x00,,Error
5.494646916666666,0x00,,Error
5.696625625000000,0x00,,Error
5.898604166666667,0x00,,Error
6.100582875000000,0x00,,Error
6.302561583333333,0x00,,Error
6.504540125000000,0x00,,Error
6.706518833333333,0x00,,Error
6.908497375000000,0x00,,Error
